Festival Name,City,State,Country,Continent,Start Date,End Date,Headliner 1,Headliner 2,Headliner 3,Headliner 4,Other Acts 1,Others Acts 2,Others Acts 3,Others Acts 4
Austin City Limits (Week 1),Austin,TX,USA,NA,10/06/2017,10/08/2017,Jay-Z,RHCP,Chance the Rapper,The Killers,Gorillaz,RTJ,P.tM,Zhu
Austin City Limits (Week 2),Austin,TX,USA,NA,10/13/2017,10/15/2017,Jay-Z,RHCP,Chance the Rapper,The Killers,Gorillaz,RTJ,P.tM,Zhu
Barcelona Beach Festival,Barcelona,,Spain,EU,07/15/2017,07/15/2017,Armin van Buuren,Axwell Ingrosso,Dmitri Vegas & Like Mike,Hardwell,Kygo,Martin Garrix,,
Billboard Hot 100 Music Festival,Long Island,NY,USA,NA,08/19/2017,08/20/2017,Big Sean,Major Lazer,Zedd,,DJ Khaled,Gucci Mane,,
Camp Bisco,Scranton,PA,USA,NA,07/13/2017,07/15/2017,Disco Biscuits,Bassnectar,Pretty Lights (Live),Griz,Shpongle,Break Science,Emancipator,Beats Antique
CBC Music Festival,Toronto,ON,Canada,NA,05/27/2017,05/27/2017,Serena Ryder,Walk Off the Earth,Keys N Krates,Ruth B,Austra,,,
Center of Gravity Festival,Kelowna,BC,Canada,NA,07/29/2017,07/31/2017,Snoop Dogg,Marshmello,Schoolboy Q,Excision,Lil Dicky,Mija,Peking Duk,
Chasing Summer Music Festival,Calgary,AB,Canada,NA,08/05/2017,08/06/2017,Tiesto,Zedd,W&W,Jauz,NGHTMRE,Infected Mushroom,Rezz,Illenium
Chicago Open Air,Chicago,IL,USA,NA,07/14/2017,07/16/2017,Kiss,Rob Zombie,Megadeath,Anthrax,Meshuggah,Dillenger Escape Plan,Whitechapel,
Citadel Festival,London,England,UK,EU,07/16/2017,07/16/2017,Foals,Bonobo (Live),Wild Beasts,Laura Marling,Sylvan Esso,Twin Peaks,Bombino,RY X
Community Festival,London,England,UK,EU,07/01/2017,07/01/2017,Catfish + Bottlemen,The Wombats,Slaves,Nothing But Thieves,The Hunna,Darlia,Fickle Friends,Redfaces
Copenhell,Copenhagen,,Denmark,EU,07/22/2017,07/29/2017,System of a Down,Prophets of Rage,Five Finger,Slayer,Rob Zombie,Dillenger Escape Plan,Every Time I Die,Black Dahlia Murder
Countdown NYE,San Bernardino,CA,USA,NA,,,,,,,,,,
Country LakeShake,Chicago,IL,USA,NA,06/23/2017,06/25/2017,Thomas Rhett,Miranda Lambert,Rascal Flatts,Randy Houser,Big & Rich,Brothers Osborne,,
Creamfields,Daresbury,England,UK,EU,08/24/2017,08/27/2017,Deadmau5  & Prydz,Armin van Buuren,Above & Beyond,Martin Garrix,Tiesto,Duke Dumont,Fatboy Slim,Sam Feldt
Creamfields Steel Yard,London,England,UK,EU,05/28/2017,05/28/2017,Axwell Ingrosso,Don Diablo,Martin Solveig,Third Party,Faithless ,,,
